dataset,seed,method,tau,alpha,beta,AA,Macro_F1,OA,Kappa,NLL
Pingan,42,R1,1.25,,0.5,0.7603651916497767,0.6322758269395125,0.8784056066579062,0.8189882764400911,4.357512850739448
Pingan,42,R1,1.25,,0.75,0.7556743427872307,0.6198717794020514,0.875105854869324,0.8142179421748049,4.416463004217146
Pingan,42,R1,1.25,,1.0,0.7531869749651806,0.6111048703803766,0.8724485326325011,0.8103962580747411,4.483602403951246
Pingan,42,R1,1.25,,1.5,0.7466051047340836,0.5952916076808945,0.8672506935319024,0.802872877475828,4.641188119988307
Pingan,42,R1,1.25,,2.0,0.7289214589434082,0.5743596770043952,0.8601839684625493,0.7926217754836931,4.82844718341101
Pingan,42,R1,1.5,,0.0,0.7645711585650932,0.6494617716755797,0.8825521974010805,0.824963151570879,4.296058316378265
Pingan,42,R1,1.5,,0.25,0.7618433394695148,0.6355158698695593,0.8790480362096657,0.819941109105001,4.344257503463961
Pingan,42,R1,1.5,,0.5,0.7569517557739054,0.6223392357570153,0.8754270696452037,0.8146964799252107,4.401044249385169
Pingan,42,R1,1.5,,0.75,0.7543236115657141,0.6127027627024515,0.8727989487516425,0.810920615481433,4.466021272918095
Pingan,42,R1,1.5,,1.0,0.7504094825921857,0.6034991793286684,0.8701124251715578,0.8070306501033142,4.5388541201377
Pingan,42,R1,1.5,,1.5,0.7424605580832069,0.5875432639037746,0.8645641699518177,0.7990067977780927,4.7071895948533236
Pingan,42,R1,1.5,,2.0,0.7234818094052567,0.5669935163414935,0.8573806395094175,0.7885866374294692,4.904483315144357
Pingan,42,R1,1.75,,0.0,0.7614856156393481,0.6372689756079016,0.8792816469557599,0.8202959775985768,4.33176932407036
Pingan,42,R1,1.75,,0.25,0.7573495735394078,0.6243682515050989,0.8757482844210833,0.8151758649274736,4.386412088812679
Pingan,42,R1,1.75,,0.5,0.7552493528617372,0.6143508772052209,0.8732077675573077,0.8115199347903584,4.449239690177948
Pingan,42,R1,1.75,,0.75,0.7515122909998982,0.6053787287901308,0.8704920426339612,0.8076042306873443,4.519919345027516
Pingan,42,R1,1.75,,1.0,0.7479309869736318,0.5973233068701932,0.8679515257701854,0.803918070378919,4.598215596087508
Pingan,42,R1,1.75,,1.5,0.7373413507741424,0.579366743500718,0.8615272302525916,0.7946286135190554,4.777029353059777
Pingan,42,R1,1.75,,2.0,0.7191631884312866,0.5617842020780576,0.8554241495108775,0.78578008525333,4.9839399252907395
Pingan,42,R1,2.0,,0.0,0.7588539329691393,0.6268725947499644,0.8761863045700102,0.8158232682708176,4.372557141443347
